Country,Active military,Reserve military,Paramilitary,Total,"Per 1,000 capita (total)","Per 1,000 capita (active)",Ref
Papua New Guinea,4000,0,0,4000,0.4,0.4,[120]
Paraguay,13950,164500,14800,193250,26.0,1.9,[121]
Peru,81000,188000,77000,346000,10.7,2.5,[122]
Philippines,146250,131000,80700,357950,3.0,1.2,[123]
Poland,164100,37500,14300,215900,5.6,4.2,[124]
Portugal,26050,23500,22820,72370,7.1,2.5,[125]
Qatar,16500,0,5000,21500,8.4,6.5,[126]
Republic of the Congo,10000,0,3500,13500,2.7,2.0,[127]
Romania,69900,55000,57000,181900,10.0,3.9,[128]
Russia,1134000,1500000,569000,3203000,22.7,8.1,[129]
Rwanda,33000,0,2000,35000,2.6,2.4,[130]
Saudi Arabia,257000,0,24500,281500,7.7,7.0,[131]
Senegal,13600,0,5000,18600,1.0,0.7,[132]
Serbia,28150,50150,3700,82000,12.3,4.2,[133]
Seychelles,420,0,0,420,4.3,4.3,[134]
Sierra Leone,8500,0,0,8500,1.3,1.3,[134]
Singapore,51000,252500,7400,310900,52.0,8.5,[135]
Slovakia,15850,0,0,15850,2.9,2.9,[81]
Slovenia,6200,950,0,7150,3.4,3.0,[136]
Somalia,13900,0,0,13900,1.1,1.1,[137]
South Africa,69200,15050,0,84250,1.4,1.1,[138]
South Korea,500000,3100000,3013500,6613500,127.0,9.6,[139]
South Sudan,90000,0,0,90000,7.4,7.4,[140]
Spain,122200,13800,87450,223450,4.7,2.6,[141]
Sri Lanka,262500,5500,94050,362050,16.5,11.9,[142]
Sudan,104300,0,60000,164300,3.3,2.1,[143]
Suriname,1840,0,0,1840,2.8,2.8,[144]
Sweden,14850,21500,21500,57850,5.5,1.4,[145]
Switzerland,21300,196450,0,217750,24.8,2.4,[146]
Syria,0,0,0,0,0.0,0.0,[147][l]
Taiwan,169000,1657000,11800,1837800,77.9,7.2,[148]
Tajikistan,8800,20000,7500,36300,3.5,0.8,[149]
Tanzania,27000,80000,1400,108400,1.6,0.4,[150]
Thailand,360850,200000,138700,699550,10.0,5.2,[151]
Timor-Leste,2250,0,0,2250,1.5,1.5,[152]
